project,tech,province,year,wind_cap,sol_cap,storage,duration,location
Bear Mountain Wind Park,Wind,BC,2009,102,#N/A,#N/A,#N/A,Peace River - just outside Dawson Creek
Caribou Wind Park,Wind,NB,2009,99,#N/A,#N/A,#N/A,"Restigouch, Northumberland County"
Fermeuse,Wind,NL,2009,27,#N/A,#N/A,#N/A,Fermeuse
Dalhousie Mountain Project,Wind,NS,2009,51,#N/A,#N/A,#N/A,Dalhousie Mountain
First Light 1,Solar,ON,2009,#N/A,7.5,#N/A,#N/A,Stone Mills
Sarnia Solar 5,Solar,ON,2009,#N/A,10,#N/A,#N/A,Sarnia
Sault Ste Marie (SSM) 1,Solar,ON,2009,#N/A,20,#N/A,#N/A,Sault Ste. Marie
SunSaver1,Solar,ON,2009,#N/A,10,#N/A,#N/A,Innerkip
Val Caron,Solar,ON,2009,#N/A,9.997,#N/A,#N/A,Hanmer
Proof Line Wind Farm,Wind,ON,2009,6.6,#N/A,#N/A,#N/A,Lambton Shores
Thames River I Wind Farm,Wind,ON,2009,40,#N/A,#N/A,#N/A,Chatham/Kent
Underwood (Kincardine),Wind,ON,2009,181.5,#N/A,#N/A,#N/A,Municipality of Kincardine
Wolfe Island Wind Farm,Wind,ON,2009,197.8,#N/A,#N/A,#N/A,Wolfe Island
Summerside Project,Wind,PE,2009,12,#N/A,#N/A,#N/A,Summerside PEI
West Cape phase 2,Wind,PE,2009,79.2,#N/A,#N/A,#N/A,"Prince County, PEI (near West Cape)"
"Saint-Ulric, Saint-Léandre",Wind,QC,2009,133.3,#N/A,#N/A,#N/A,Matane
Kent Hills 1,Wind,NB,2008,96,#N/A,#N/A,#N/A,"Albert County, Moncton"
St. Lawrence,Wind,NL,2008,27,#N/A,#N/A,#N/A,St. Lawrence (Burin Peninsula)
Hydro One Brampton Commercial Solar,Solar,ON,2008,#N/A,20.48,#N/A,#N/A,Brampton
Sarnia Solar 2,Solar,ON,2008,#N/A,10,#N/A,#N/A,Sarnia
Cruikshank Wind Farm Ltd.,Wind,ON,2008,8.25,#N/A,#N/A,#N/A,Ferndale / Tiverton
